,ID,community,CPDB,NicheNet
1081,CEACAM8,True,True,False
1082,PRL,True,True,True
1083,TBXAS1,False,True,False
1084,BTN1A1,True,False,False
1085,NTN1,True,True,True
1086,LILRA3,True,False,False
1087,ADRA1B,False,True,False
1088,NMUR1,True,True,True
1089,CXCR3,True,True,True
1090,IL12B,True,True,True
1091,MELTF,True,False,False
1092,LY86,True,False,False
1093,MDK,True,True,True
1094,PDX1,True,False,False
1095,THRB,False,True,False
1096,AGTRAP,True,False,False
1097,SV2C,False,False,True
1098,ITGB3,True,True,True
1099,CXCL2,True,True,True
1100,CNTN1,True,True,True
1101,IL1R2,True,True,True
1102,KCNN4,True,False,False
1103,DSCAM,True,True,False
1104,CNMD,True,False,False
1105,TIE1,True,False,True
1106,PROKR1,True,True,True
1107,HAVCR2,True,True,False
1108,LINGO1,True,False,True
1109,CAMP,True,True,True
1110,PRLH,True,True,True
1111,LAMA1,True,False,True
1112,ADGRE2,True,False,False
1113,CXCL13,True,True,True
1114,CRISP2,True,False,False
1115,DHRS9,False,True,False
1116,SCN10A,True,False,False
1117,IL18RAP,True,True,True
1118,ADAM17,True,False,True
1119,PMCH,True,True,True
1120,LGALS3,True,True,False
1121,CACNA1C,True,False,False
1122,ALOX5,True,True,True
1123,SULT1A1,False,True,False
1124,PTH2,True,True,True
1125,ACTR2,True,False,False
1126,PNOC,True,True,True
1127,IL33,True,True,False
1128,LAMC2,True,False,True
1129,PPY,True,True,True
1130,BMP2,True,True,True
1131,CLEC4G,True,False,False
1132,SCN4A,True,False,False
1133,TNFSF9,True,True,True
1134,GUCY2C,True,True,True
1135,CNTNAP1,False,False,True
1136,CRLF3,True,False,False
1137,POMC,True,True,True
1138,IFNGR2,True,True,True
1139,FCGRT,False,True,False
1140,ROBO3,True,True,True
1141,CCR6,True,True,True
1142,SORCS3,True,False,False
1143,HLA-DPA1,True,True,False
1144,NTN3,True,False,True
1145,PLXNB1,True,True,True
1146,MET,True,True,True
1147,RIMS2,True,False,False
1148,PROK2,True,True,True
1149,ADIPOR2,True,True,True
1150,DPEP3,False,True,False
1151,SLITRK1,True,False,False
1152,MC2R,True,True,True
1153,GPR37,True,True,True
1154,PLAT,True,False,True
1155,DCC,True,True,True
1156,CHRNA5,False,True,False
1157,CLEC2B,True,True,False
1158,CD40LG,True,True,True
1159,ALB,True,True,False
1160,IL1R1,True,True,True
1161,OXER1,False,True,False
1162,AVPR1B,True,True,True
1163,APOC1,True,False,False
1164,GPR37L1,True,True,True
1165,PCNA,True,False,False
1166,PTH,True,True,True
1167,IL2RA,True,True,True
1168,C5,True,True,True
1169,ITGA2B,True,True,True
1170,CCKBR,True,True,True
1171,PDPN,True,False,False
1172,WNT10A,True,True,False
1173,SEMA3B,True,False,True
1174,SLC16A7,True,False,False
1175,KLK3,True,False,False
1176,BTN3A2,True,False,False
1177,SEMA5A,True,True,True
1178,DRD1,False,True,False
1179,TRPV1,True,False,False
1180,CFTR,True,False,False
1181,QDPR,True,False,False
1182,SPN,True,True,True
1183,NMU,True,True,True
1184,CHRNA6,False,True,False
1185,HRH2,True,True,True
1186,S100A9,True,False,False
1187,MRAP,True,False,False
1188,AVPR2,True,True,True
1189,COL18A1,True,True,True
1190,GALR3,True,True,True
1191,STX4,True,False,False
1192,EPHA1,True,True,True
1193,TOR2A,True,False,False
1194,BAMBI,True,False,True
1195,CCL20,True,True,True
1196,MBL2,True,False,False
1197,TNFRSF1A,True,True,True
1198,LRIG1,True,False,False
1199,RARB,False,True,False
1200,ADCYAP1,True,True,True
1201,ZG16B,True,False,False
1202,AMH,True,True,True
1203,LRP1,True,True,True
1204,RXFP1,True,True,True
1205,COL7A1,True,True,False
1206,KIR2DL4,True,False,True
1207,SPTBN2,True,False,False
1208,HLA-E,True,True,True
1209,FSHB,True,True,True
1210,TLR7,True,False,False
1211,VIM,True,False,False
1212,FLT3LG,True,True,True
1213,NTSR2,True,False,True
1214,NPTN,True,False,False
1215,COL10A1,False,True,False
1216,GFRA2,True,True,True
1217,HLA-G,True,True,True
1218,SPP1,True,True,True
1219,B2M,True,True,False
1220,CD5L,True,False,False
1221,RAET1G,True,True,False
1222,ADCY7,True,False,False
1223,GPR152,False,True,False
1224,LGALS9,True,True,False
1225,NPBWR1,True,True,True
1226,FGF10,True,True,True
1227,NPY,True,False,True
1228,EFNA1,True,True,True
1229,BMP5,True,True,True
1230,CCL21,True,True,True
1231,COL6A6,True,True,False
1232,HCRT,True,True,True
1233,MDGA1,True,False,False
1234,IL1F10,True,True,False
1235,UNC5A,True,True,True
1236,NLGN4Y,False,False,True
1237,NECTIN2,True,True,True
1238,CRH,True,True,True
1239,JAM3,True,True,True
1240,CUBN,True,True,False
1241,HLA-DRB3,True,False,False
1242,PRLHR,True,True,True
1243,ASGR1,True,False,False
1244,DKK3,True,False,False
1245,COL12A1,False,True,False
1246,HAPLN1,True,False,False
1247,SEMA4C,False,True,False
1248,WNT16,True,True,False
1249,GP1BB,True,True,True
1250,PITPNM3,True,False,False
1251,CAP1,True,False,False
1252,VDR,False,True,False
1253,FZD1,True,True,True
1254,RSPO1,True,True,True
1255,NECTIN1,True,True,True
1256,TLR2,True,False,False
1257,STRA6,True,True,False
1258,GLRA2,True,True,False
1259,CGA,True,True,True
1260,IL21,True,True,True
1261,MMRN2,True,False,False
1262,ITGAV,True,True,True
1263,KIR2DL2,True,False,False
1264,IMPG2,True,False,False
1265,STX1A,True,False,False
1266,KIR3DL2,True,True,True
1267,LVRN,True,False,False
1268,CNTFR,True,True,True
1269,EDN2,True,True,True
1270,BMP15,True,True,True
1271,CHRNA1,False,True,False
1272,HSPA1A,True,False,False
1273,COL11A1,True,True,False
1274,PDE1C,True,False,True
1275,PIGR,True,False,False
1276,ROR2,True,True,True
1277,CBR1,False,True,False
1278,HTR3B,False,True,False
1279,FFAR2,True,True,False
1280,VSIR,True,True,False
1281,ART1,True,False,False
1282,TULP1,False,True,False
1283,GPC2,True,False,False
1284,TEK,True,True,True
1285,GRM1,True,False,False
1286,PLEKHO2,False,False,True
1287,INSL5,True,True,True
1288,S1PR1,True,False,False
1289,INSR,True,True,True
1290,CCL7,True,True,True
1291,CD1A,True,False,False
1292,KIR2DS4,True,False,True
1293,NRSN1,True,False,False
1294,SIGLEC7,True,False,False
